,user_id,creation_date,last_access_date,reputation,location
13549,4814,1220638072,1481638699,196,Apex NC
13550,12867,1221580902,1284106509,196,no_location
13551,18593,1221807079,1425549196,196,Nigeria
13552,19837,1221966770,1223408639,196,no_location
13553,22351,1222372492,1486049452,196,Germany
13554,22440,1222381599,1439156933,196,Houston TX
13555,25164,1223148252,1485885125,196,Champaign IL
13556,25203,1223165969,1484664306,196,Stockholm Sweden
13557,28623,1224171754,1342832104,196,Palo Alto CA
13558,29030,1224264030,1296278332,196,no_location
13559,36736,1226441814,1484363386,196,Mississauga Canada
13560,41580,1227875187,1227878778,196,no_location
13561,43076,1228360151,1273453089,196,no_location
13562,45870,1229122402,1393300720,196,San Francisco CA
13563,48597,1230025307,1486041416,196,no_location
13564,57450,1232529930,1475070350,196,Copenhagen Denmark
13565,186252,1220558526,1390999667,196,Amsterdam Netherlands
13566,2488,1219412515,1284062223,195,United States
13567,5558,1221055371,1346653934,195,Milky Way Galaxy
13568,12323,1221573538,1316098719,195,Philadelphia PA
13569,14796,1221620073,1471653404,195,no_location
13570,20445,1222090900,1486140533,195,Norway
13571,24989,1223067230,1298477617,195,no_location
13572,25623,1223324913,1254861769,195,no_location
13573,25951,1223411760,1282873903,195,Malibu CA
13574,36258,1226338960,1329233748,195,no_location
13575,38675,1227036118,1332881094,195,no_location
13576,40595,1227614309,1486123926,195,no_location
13577,42836,1228314275,1486067006,195,no_location
13578,44538,1228813546,1284155505,195,no_location
13579,46739,1229446860,1485701180,195,Croatia
13580,50947,1230913235,1262704949,195,no_location
13581,53482,1231529666,1435771530,195,Mountain View CA
13582,2726785,1222634916,1486146036,195,Springfield MO
13583,15910,1221658071,1221867672,194,no_location
13584,19713,1221931803,1277207787,194,no_location
13585,21785,1222278997,1226601086,194,no_location
13586,27304,1223868996,1228242235,194,Washington DC
13587,31026,1224807846,1485559311,194,no_location
13588,33314,1225566672,1486034623,194,Bucharest Romania
13589,39345,1227193111,1469451361,194,Munich Germany
13590,47501,1229624346,1229627937,194,no_location
13591,49661,1230504913,1274212266,194,no_location
13592,52683,1231371862,1371518316,194,San Diego CA
13593,53723,1231607456,1484856886,194,no_location
13594,58755,1232877768,1486130077,194,United Kingdom
13595,999420,1223373103,1455011090,194,no_location
13596,3741,1220104821,1387301597,193,no_location
13597,4968,1220760635,1400078829,193,New York NY
13598,11770,1221563075,1433416889,193,England United Kingdom
13599,14166,1221603548,1221622538,193,no_location
13600,46609,1229422814,1486125575,183,Estonia
13601,48499,1229985710,1230977609,183,no_location
13602,48973,1230156888,1231786960,183,no_location
13603,51058,1230940881,1425539233,183,no_location
13604,55565,1232046484,1324437173,183,Bulgaria
13605,57240,1232483633,1440012399,183,Florida
13606,396823,1219232519,1486142401,183,United States
13607,11541,1221555693,1400269460,182,Bangalore India
13608,15178,1221634503,1239754567,182,United States
13609,16195,1221664803,1280322639,182,no_location
13610,19105,1221844994,1486043297,182,Bergen Norway
13611,19369,1221863776,1355203753,182,Daly City CA
13612,19606,1221914102,1485246411,182,no_location
13613,20922,1222151864,1486080128,182,Ravensdale WA
13614,21320,1222196332,1485901842,182,Norwalk CT
13615,27335,1223882533,1436410065,182,no_location
13616,38473,1226992347,1486082864,182,United States
13617,38615,1227023613,1254753040,182,North Carolina
13618,39899,1227351453,1378311520,182,no_location
13619,44163,1228693457,1486145790,182,Sweden
13620,50606,1230759987,1485891712,182,New York NY
13621,2179,1219260209,1375279852,181,Michigan
13622,3148,1219798893,1279610577,181,no_location
13623,4420,1220457634,1318538176,181,San Francisco CA
13624,5603,1221057371,1368437368,181,no_location
13625,6070,1221209118,1272623408,181,Delaware
13626,6343,1221397788,1482282449,181,United States
13627,8298,1221493145,1249959141,181,Texas
13628,9096,1221500588,1486063575,181,New York NY
13629,10882,1221532856,1452543915,181,Kirkland WA
13630,12894,1221581295,1267329120,181,Mountain View CA
13631,16472,1221672592,1401392190,181,Anchorage AK
13632,18068,1221762001,1485973192,181,no_location
13633,18880,1221833257,1448451163,181,Egypt
13634,19843,1221969379,1428153747,181,Melbourne Australia
13635,20024,1222021498,1360277476,181,Carson City NV
13636,21201,1222185176,1485633725,181,Nashua NH
13637,26053,1223451548,1223451548,181,no_location
13638,27906,1223999737,1449525748,181,no_location
13639,29353,1224401822,1485511819,181,London United Kingdom
13640,30684,1224746343,1291195051,181,no_location
13641,40661,1227625009,1485972957,181,California
13642,46400,1229357294,1463003731,181,Toronto Canada
13643,48199,1229897563,1297571903,181,no_location
13644,50484,1230729774,1402065075,181,no_location
13645,53571,1231543211,1390002052,181,no_location
13646,56866,1232404186,1404394524,181,France
13647,57744,1232584588,1485455072,181,Arizona
13648,58780,1232889841,1242042746,181,no_location
13649,60301,1233250342,1269265828,181,no_location
13650,5389,1220962159,1486137459,180,no_location
13651,16624,1221678633,1224382168,180,American Samoa
13652,20441,1222090506,1305141597,180,no_location
13653,22135,1222345811,1486007588,180,Cleveland OH
13654,23434,1222692232,1238673568,180,no_location
13655,24207,1222878134,1441617585,180,London United Kingdom
13656,28321,1224091394,1485962325,180,no_location
13657,29990,1224600686,1476826982,180,Louisiana
13658,35394,1226043919,1485887949,180,Port Alberni Canada
13659,42584,1228246066,1264685329,180,no_location
13660,45840,1229114821,1486107935,180,France
13661,54446,1231817226,1461220407,180,no_location
13662,55335,1232004375,1479794917,180,no_location
13663,59374,1233069249,1486146674,180,Rochester NY
13664,376422,1221509245,1486075579,180,Milwaukee WI
13665,462204,1221500183,1390784556,180,no_location
13666,5361,1220957553,1463757614,179,Berlin Germany
13667,6740,1221482075,1486097936,179,Melbourne Australia
13668,7864,1221489249,1442528986,179,United States
13669,10976,1221536264,1486147992,179,Akron OH
13670,14030,1221601530,1485983877,179,Fort Wayne IN United States
13671,15121,1221632209,1230337718,179,no_location
13672,15181,1221634540,1224135025,179,no_location
13673,15353,1221640486,1483724136,179,Stockholm Sweden
13674,15644,1221651281,1486108107,179,Kranj Slovenia
13675,17415,1221727154,1426669373,179,Bradford United Kingdom
13676,23890,1222800588,1227204473,179,Portland OR
13677,24634,1222978737,1225213127,179,no_location
13678,34924,1225935714,1456197833,179,China
13679,38913,1227098822,1485815531,179,United States
